IBD_percent,fraction_IBD.iida,fraction_IBD.iidb
3.897407497,PU4,Sample5026409
3.893946212,Sample5026437,Sample5026452
3.890062649,Sample5024704,Sample5026437
3.868993804,Sample5025261,Sample5026433
3.868052335,Sample5024054,Sample5024706
3.859838704,Sample5025958,Sample5026773
3.857010834,Sample5024475,Sample5025257
3.855872071,Sample5024591,Sample5025264
3.849312935,PU12,Sample5024818
3.835104358,Sample5024536,Sample5025118
3.834010592,Sample5024833,Sample5026773
3.830950815,Sample5024264,Sample5025257
3.830871206,Sample5025942,Sample5026402
3.792253643,Sample5024820,Sample5024992
3.790682219,Sample5024096,Sample5024549
3.789017341,Sample5024475,Sample5024819
3.78664636,Sample5025964,Sample5026773
3.784154235,PU10,Sample5024981
3.778512339,PU14,Sample5026916
3.777387422,Sample5024096,Sample5024818
3.776968606,PU10,Sample5025118
3.772853138,Sample5024096,Sample5024820
3.767951957,Sample5024706,Sample5024820
3.76661244,Sample5024011,Sample5025643
3.762026237,Sample5024096,Sample5024475
3.760160604,PU12,Sample5025262
3.757356962,PU9,Sample5026588
3.75619397,Sample5024096,Sample5026712
3.755692084,Sample5024096,Sample5024819
3.754404486,PU15,Sample5024706
3.754300647,PU4,Sample5024820
3.752871136,Sample5024706,Sample5026588
3.75204735,PU15,Sample5024475
3.751088574,Sample5025266,Sample5026032
3.747668824,Sample5024833,Sample5026814
3.746170088,Sample5024818,Sample5024820
3.746000485,Sample5024673,Sample5026814
3.745761656,Sample5024818,Sample5024992
3.745110934,Sample5024096,Sample5024992
3.733024125,Sample5024055,Sample5026847
3.732421861,Sample5025973,Sample5026031
3.730071649,PU5,Sample5025076
3.727804507,PU4,Sample5025782
3.727804507,PU5,Sample5024981
3.71117303,Sample5025118,Sample5026443
3.703862795,Sample5024376,Sample5024475
3.703592814,Sample5024054,Sample5026588
3.698954692,Sample5025954,Sample5026584
3.698110138,PU4,Sample5025954
3.697151362,PU5,Sample5026712
3.697078675,Sample5026584,Sample5026588
3.68626908,Sample5024992,Sample5026588
3.677941227,Sample5024704,Sample5025958
3.659741788,PU25,Sample5024833
3.638184902,Sample5024473,Sample5026433
3.63799107,Sample5026134,Sample5026729
3.635066284,Sample5024055,Sample5025264
3.609324703,Sample5025782,Sample5025973
3.601204527,Sample5024416,Sample5025942
3.598556644,PU2,Sample5025076
3.586632515,Sample5024981,Sample5026814
3.584296148,Sample5026433,Sample5026847
3.57961649,Sample5026847,Sample5026878
3.578581565,Sample5024069,Sample5026814
3.575507944,Sample5024055,Sample5025954
3.569014572,Sample5024086,Sample5024673
3.568886504,Sample5025958,Sample5026884
3.567900038,Sample5026441,Sample5026884
3.565352532,Sample5024673,Sample5025953
3.5650514,Sample5025958,Sample5026878
3.564552975,Sample5024086,Sample5026878
3.562590426,Sample5024096,Sample5024673
3.562022775,Sample5024086,Sample5024096
3.554141428,Sample5024096,Sample5026878
3.553345332,Sample5024673,Sample5025941
3.541092382,PU14,Sample5025954
3.534422485,Sample5024056,Sample5026402
3.534273649,Sample5026588,Sample5026773
3.531646534,Sample5026441,Sample5026878
3.513204804,Sample5025257,Sample5025942
3.511114188,Sample5024414,Sample5024884
3.505126164,Sample5024673,Sample5026441
3.502910941,Sample5024473,Sample5025065
3.502820948,Sample5024706,Sample5025065
3.502820948,Sample5024706,Sample5026578
3.502820948,Sample5024981,Sample5026438
3.502730954,Sample5024055,Sample5024473
3.502554429,Sample5024376,Sample5026433
3.502031775,Sample5025065,Sample5026433
3.501612959,Sample5024376,Sample5025065
3.501471046,Sample5024706,Sample5026433
3.501429511,Sample5025117,Sample5026433
3.501387975,Sample5024011,Sample5026437
3.498065141,Sample5026437,Sample5026438
3.496656398,PU25,Sample5025076
3.488550067,Sample5026438,Sample5026712
3.487463224,Sample5024376,Sample5024706
3.485607975,PU4,Sample5026437
3.485472985,Sample5024549,Sample5026438
3.483416981,Sample5024056,Sample5024992
3.482112076,PU14,PU28
3.47932228,Sample5024992,Sample5026712
3.478636946,PU4,Sample5024981
3.476511716,Sample5024473,Sample5025117
3.47646672,Sample5025684,Sample5026437
3.475615244,Sample5026433,Sample5026438
3.475130664,Sample5024992,Sample5026437
3.475130664,Sample5024992,Sample5026438
3.475130664,Sample5024992,Sample5025684
3.473759994,PU11,Sample5026578
3.471894362,Sample5026437,Sample5026871
3.471697068,Sample5026438,Sample5026871
3.471697068,Sample5024981,Sample5025684
3.471669378,Sample5024992,Sample5026871
3.471669378,Sample5025684,Sample5026871
3.471669378,PU4,Sample5024992
3.471669378,Sample5024485,Sample5025684
3.471669378,Sample5025684,Sample5026712
3.465792115,Sample5024706,Sample5026443
3.461714721,Sample5024414,Sample5025782
3.458679173,Sample5024525,Sample5025118
3.457824236,Sample5024011,Sample5024549
3.44698349,Sample5024673,Sample5026884
3.443387214,Sample5024054,Sample5026134
3.442459589,Sample5024055,Sample5026433
3.440697795,PU11,Sample5025973
3.436063134,Sample5024086,Sample5024473
3.433297567,PU16,Sample5026441
3.428233706,Sample5024055,Sample5026578
3.422470666,Sample5024054,Sample5024818
3.41413589,Sample5024055,Sample5024706
3.412720224,Sample5025118,Sample5025954
3.404991174,Sample5026441,Sample5026712
3.404087778,Sample5025264,Sample5026134
3.395971064,Sample5024011,Sample5024981
3.384988405,Sample5025065,Sample5025117
3.384268457,Sample5024051,Sample5024054
3.380703333,Sample5024054,Sample5024981
3.378214669,Sample5025954,Sample5026773
3.373230418,Sample5024051,Sample5026433
3.372552006,Sample5024011,Sample5026438
3.3723201,Sample5026133,Sample5026847
3.371292098,Sample5025117,Sample5026578
3.370385241,Sample5024011,Sample5024054
3.369966426,Sample5026433,Sample5026578
3.367830812,Sample5024051,Sample5026578
3.367830812,Sample5024055,Sample5025117
3.367830812,Sample5025076,Sample5025117
3.365612128,Sample5024113,Sample5026297
3.364369527,Sample5024051,Sample5025117
3.363874563,Sample5025065,Sample5026437
3.363860718,Sample5024054,Sample5026578
3.353421481,Sample5024056,Sample5025958
3.350680143,Sample5024051,Sample5024706
3.350354782,Sample5024055,Sample5026437
3.349274861,Sample5024264,Sample5025264
3.34849261,Sample5024051,Sample5024376
3.348381849,Sample5026437,Sample5026578
3.347852272,Sample5024054,Sample5025117
3.347537295,Sample5024051,Sample5025065
3.347063099,Sample5024051,Sample5026437
3.347063099,Sample5024054,Sample5026433
3.341618497,Sample5026578,Sample5026584
3.341216988,Sample5024051,Sample5024981
3.338648714,Sample5024706,Sample5024981
3.338108754,Sample5024981,Sample5026578
3.337676093,Sample5024981,Sample5025065
3.336845384,Sample5024055,Sample5024981
3.333217957,Sample5025065,Sample5026438
3.331120418,Sample5026437,Sample5026441
3.33072237,Sample5026438,Sample5026578
3.329756672,Sample5024706,Sample5026438
3.329756672,Sample5025117,Sample5026438
3.318850161,Sample5024818,Sample5026032
3.315797307,Sample5024096,Sample5024473
3.302066387,Sample5024475,Sample5026316
3.297663632,Sample5025958,Sample5026441
3.27907999,Sample5025119,Sample5025261
3.27832543,Sample5024536,Sample5025942
3.277224741,Sample5025263,Sample5026134
3.24604202,Sample5025257,Sample5026468
3.240756637,Sample5025958,Sample5026437
3.235457409,Sample5026588,Sample5026847
3.232840677,Sample5024171,Sample5026729
3.163614967,Sample5026578,Sample5026729
3.155778616,Sample5024264,Sample5026814
3.155221349,PU28,Sample5025930
3.102409055,Sample5024096,Sample5026240
3.095815306,Sample5024719,Sample5025263
3.088034336,Sample5026134,Sample5026735
3.084455367,Sample5024981,Sample5025941
3.063968018,Sample5024818,Sample5026240
3.02229414,PU5,Sample5026584
3.011318404,Sample5024171,Sample5025776
2.99025302,PU2,Sample5024056
2.981973625,Sample5024113,Sample5025499
2.966321692,Sample5024051,Sample5024704
2.965795576,Sample5024083,Sample5024442
2.948056488,Sample5025753,Sample5025909
2.943293759,Sample5024884,Sample5025654
2.942760721,Sample5026452,Sample5026847
2.940393202,Sample5024173,Sample5025973
2.908774359,PU24,Sample5025684
2.89367277,PU13,Sample5025499
